gene_id,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
AT5G05275|AT5G05275,7,1,8,4,2,4,4,12,5,2,6,8
AT5G27720|emb1644,1831,1727,1949,1490,944,1486,1779,1940,1291,1672,1985,1663
AT5G47870|RAD52-2,1613,1480,1605,1217,1124,1524,1530,1570,1158,1242,1870,1399
AT1G08287|ath-MIR5647,0,0,0,0,0,0,0,0,0,0,0,0
AT1G09053|AT1G09053,0,0,0,0,0,0,0,0,0,0,0,0
AT4G09820|TT8,79,108,118,87,102,70,115,101,68,100,160,143
AT2G40510|AT2G40510,4082,3664,4546,3285,929,3767,4045,4259,3178,3767,4023,3428
AT1G60690|AT1G60690,743,752,785,718,483,777,791,666,480,625,826,749
AT3G11860|AT3G11860,0,0,0,0,7,0,0,6,0,0,0,3
AT5G14980|AT5G14980,0,0,0,0,0,0,0,0,0,0,0,0
AT5G08810|U2.16,2,1,2,4,1,2,1,1,1,3,1,2
AT5G03820|AT5G03820,0,0,0,0,0,0,0,0,0,0,0,0
AT2G09385|AT2G09385,0,0,0,0,0,0,0,0,0,0,0,0
AT3G23740|AT3G23740,320,287,414,253,190,266,305,388,241,266,180,182
AT3G05575|AT3G05575,0,0,0,0,0,0,4,0,0,0,0,0
AT5G16140|AT5G16140,516,622,546,499,376,573,624,455,460,568,707,679
AT5G07805|AT5G07805,0,0,0,0,0,0,0,0,0,0,0,0
AT3G01010|AT3G01010,0,0,0,0,0,0,0,0,0,0,0,0
AT5G20160|AT5G20160,3741,3547,4023,2874,3113,3009,3560,3394,2571,3304,4281,3852
AT2G36710|AT2G36710,0,0,3,0,0,0,0,0,0,8,2,0
AT5G04520|AT5G04520,289,258,278,192,138,187,275,194,183,231,242,243
AT3G53260|PAL2,21715,22660,25166,19716,17399,20843,21296,19507,14846,18979,21128,17961
AT4G20210|AT4G20210,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11130|AT5G11130,0,0,0,0,0,0,0,0,0,0,0,0
ATCG00710|psbH,87,82,81,45,43,72,98,73,64,59,97,78
AT1G06597|ath-MIR5654,1,1,1,1,1,1,1,1,1,1,1,1
AT1G66140|ZFP4,797,668,779,579,482,849,729,639,530,537,596,474
AT5G09500|AT5G09500,0,7,0,0,0,0,0,4,1,3,5,0
AT2G14580|PRB1,68,44,93,21,31,11,92,44,41,25,46,34
AT1G77100|AT1G77100,0,0,0,0,0,0,0,0,0,0,0,0
AT5G37830|OXP1,3317,4238,4345,3323,3235,3311,3242,3029,2651,3881,4353,4377
AT3G58120|BZIP61,2793,2105,2962,1831,202,2073,2969,3241,2011,1915,1660,1220
AT1G75600|AT1G75600,0,0,0,0,0,0,0,0,0,0,0,0
AT1G46408|AGL97,0,0,0,0,0,0,0,0,0,0,0,0
AT3G14850|TBL41,155,222,257,213,123,205,210,195,55,189,204,122
AT5G64010|AT5G64010,199,202,232,141,148,118,228,183,141,218,194,191
AT3G21250|ABCC8,6779,8059,8887,7562,5893,7025,6946,5991,5559,7765,11211,8728
AT5G44600|AT5G44600,676,643,668,564,626,605,590,695,409,636,671,666
AT3G57010|AT3G57010,170,180,384,108,128,161,150,199,81,114,136,217
AT3G48480|AT3G48480,78,60,63,69,84,57,66,85,53,47,56,54
AT5G22990|AT5G22990,0,0,0,0,0,0,0,0,0,0,0,0
AT3G50770|CML41,20,85,22,68,52,44,43,53,70,42,48,31
AT3G07410|RABA5b,472,414,685,507,494,412,448,448,325,533,636,610
AT4G09825|AT4G09825,0,0,0,0,0,0,0,1,0,0,0,0
AT1G07510|ftsh10,2642,3104,3150,3149,2621,2728,2797,2621,2293,3486,3846,3818
AT3G25520|ATL5,28805,30781,33399,23152,22918,23405,27610,27721,20375,25602,31507,29247
AT1G77060|AT1G77060,1782,1828,2077,1586,1608,1889,2068,1731,1462,2241,2617,2612
AT5G08225|AT5G08225,0,0,0,2,0,5,0,0,0,0,0,0
AT1G75270|DHAR2,805,954,1103,791,1028,761,703,717,472,715,1097,923
AT2G38695|AT2G38695,276,259,247,151,174,211,187,206,169,198,281,262
AT1G14120|AT1G14120,12,49,6,28,16,30,34,36,0,14,79,49
AT2G34740|AT2G34740,0,0,0,0,0,0,0,0,0,0,0,0
AT5G03390|AT5G03390,273,217,296,225,220,211,214,242,159,229,354,245
AT3G52030|AT3G52030,705,764,758,576,587,627,726,591,609,880,998,933
AT3G17650|YSL5,3467,3963,4234,4016,2498,4006,4012,3682,2824,4748,5503,4621
AT1G08610|AT1G08610,585,643,562,464,614,483,705,665,447,631,881,794
AT1G74930|ORA47,172,212,152,777,470,869,309,393,168,2188,4025,2282
AT3G61290|AT3G61290,0,0,0,0,0,0,0,0,0,0,0,0
AT5G05915|ath-MIR3933,0,0,0,0,0,0,0,0,0,0,0,0
AT1G75630|AVA-P4,2467,2673,3414,2915,3677,2521,2570,2481,2024,2912,4201,3663
AT5G04070|AT5G04070,328,327,290,216,119,279,299,350,175,331,317,317
AT5G22000|RHF2A,3566,4025,4093,3792,2292,3863,3583,3521,2856,4603,5803,4731
AT1G77910|AT1G77910,0,0,0,0,0,0,0,0,0,0,0,0
AT1G21880|LYM1,1570,1440,1675,1260,626,1232,1439,1355,868,1299,1334,1082
AT5G66600|AT5G66600,499,504,600,581,307,620,533,449,427,510,541,532
AT3G45645|AT3G45645,0,0,0,0,0,0,0,0,0,0,0,0
AT2G45160|HAM1,2654,2347,2907,2314,1008,2348,2804,2635,1885,2491,2970,2500
AT5G04830|AT5G04830,2729,2878,3411,2762,1175,3063,3190,2628,2209,3129,3724,3094
AT5G45290|AT5G45290,914,926,1284,966,824,824,1052,911,725,1077,1302,1187
AT3G01095|AT3G01095,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01460|PIPK11,0,0,0,0,0,0,0,0,0,0,3,0
AT3G16830|TPR2,4904,4968,5480,4390,3011,4550,5086,4917,3767,5185,6092,5461
AT1G74456|AT1G74456,42,71,50,37,62,34,47,26,32,51,61,52
AT4G05225|AT4G05225,0,0,0,0,0,0,0,0,0,0,0,0
AT1G13960|WRKY4,818,914,1043,934,352,942,988,811,755,1183,1282,1099
AT5G09835|AT5G09835,0,0,0,0,0,0,0,0,0,0,0,0
AT3G28740|CYP81D11,304,324,656,419,507,488,365,265,440,1022,1508,1235
AT1G70830|MLP28,7511,8172,9043,7979,8987,7015,7418,7288,6056,8767,10935,11004
AT4G35485|AT4G35485,0,0,0,0,0,0,0,0,0,0,0,0
AT3G19360|AT3G19360,400,414,404,354,317,274,410,420,309,346,431,409
AT3G08045|AT3G08045,0,7,13,0,1,3,1,3,2,0,5,0
AT1G56520|AT1G56520,905,946,987,927,470,842,750,923,692,1159,1291,1218
AT3G05625|AT3G05625,965,1112,1137,717,750,800,810,808,741,749,921,723
