col0_1	col0_2	abc_1	abc_2
178.886792590076	158.877979720604	206.985732530744	216.125144497842
61.4093046330798	117.617499030418	6.06219739923954	4.60624505893536
185.931137	231.936111	175.114471	158.123642
28.7388780525573	21.6651456320988	60.9996105636684	69.6666009421517
96.822502	87.214012	385.104279	284.306244
11.490254	7.565851	29.696178	20.231348
3.981373	2.495197	1.767059	1.887618
3.2197618	2.4196203952	2.7621245104	2.1931721536
44.847912	32.385695	119.105988	132.618439
1	1	2.12057	1.805817
70.359505	77.087509	67.917915	70.442223
16.887424	15.696109	29.269522	35.835106
5.475738	4.145661	5.116638	4.551809
1.87424	1.820137	42.741585	42.756397
1	1	1	1
1	1	1	1
1	1	1	1
71.689758	67.288628	94.633766	107.778175
31.655907	27.264778	21.345196	28.046816
26.034513	21.458067	56.268131	52.083984
16.315102	16.027697	12.383556	9.542768
1	1	1	1
6.878993	5.801236	2.040724	1
9.647577	14.03117	4.318129	5.50963
65.203445	85.311287	15.463697	55.339764
174.212562304872	187.439787823992	82.3390821204819	104.885281445783
109.684685	95.486053	44.598915	45.0769
1.859178	1.458218	2.30102	2.604315
29.0980837254902	20.1562730490196	22.3624821862745	23.5729538921569
84.4606715693187	118.28923325536	25.3902039671272	28.8781771310148
26.011969	15.915696	2.201045	1.287604
23.6323012978723	24.2527917021277	30.956468893617	37.6111266382979
41.5523564416277	32.8232439192795	65.5168032711808	71.8360283962642
3.753809	4.047449	5.170028	5.328885
37.770466	39.4184	74.096268	77.071243
2.54624465042373	5.57951058686441	887.312370711864	1386.46195279449
14.450877	15.839397	24.218414	24.427507
2.440024	3.305783	1.479635	1
12.103276	8.58131	15.218876	7.465629
1.851308	1.492604	1.439264	2.789867
50.403149	43.457748	137.123489	133.570038
297.098206	205.705795	558.653076	539.728027
13.0477101791237	8.55578586984536	1.29431164046392	1.13728457345361
1	1	1	1
24.801371	18.507372	12.518148	16.77469
1.863151	1.61275	18.095301	42.669407
43.3005756897321	32.2113441294643	67.1589486941964	80.1824119107143
35.923595	28.362696	41.722519	42.11433
641.279663	755.255676	425.104919	458.2276
8.323041	4.367188	3.255669	4.082414
75.5884142979592	52.743347	91.788928322449	106.152890389796
1	1	1	1
9.264025	8.265366	7.829293	9.790531
35.040085	38.365871	57.969204	61.884174
111.379959	115.904137	124.165886	110.902924
41.4362655822368	29.2301655635965	36.2699325537281	33.6664164024123
1.839045	2.071573	2.430679	2.545828
6.932491	5.646771	15.976984	16.872289
50.799995	35.268093	109.713387	116.930061
24.242908	20.648626	15.156016	17.619799
32.2997108830189	35.8225276898113	51.6269605796226	64.5554776196226
12457.212891	16386.322266	340.724609	393.966858
19.208138	15.917655	16.304375	11.423082
1	1	1	1
5.720195	4.228417	2.51333	1.727174
36.215782	42.702457	42.166607	42.003048
5.354852	3.968379	4.088368	3.547846
8.386817	9.385897	5.795498	4.362827
344.785919	278.092072	100.726913	99.795479
8.579732	11.023993	5.526032	3.804277
727.24292	1833.193726	549.489929	635.134399
45.224976	45.349197	16.080342	23.241407
48.4513798623104	43.8086883512252	62.481619008168	48.0098872893816
11.87454	7.591524	15.333969	14.069133
10.014525	12.787285	37.126377	31.827742
291.351961744253	299.280122033046	494.440977043103	537.531561784483
6.307273	5.418325	45.823601	48.783539
21.4137267350746	26.7660277425373	376.441335488806	687.974953816418
1	1	16.962758	13.410023
1.05953	1	1	1
10.0686190238253	8.37515138782264	6.99224959629385	7.12207842819325
1	1.002068	284.313568	276.178558
172.083008	162.309113	1.005809	1.009939
3.26177	2.284413	2.998744	3.811693
51.716316	62.03038	53.727112	73.557587
28.391214	20.718716	19.121469	12.679745
2.595049	1.382823	1.746929	2.811043
1	1	1.063243	1
60.838806	85.38665	2.346213	1.881415
2.000865	4.316401	1.14169	2.451214
393.297795278179	1019.30584922327	184.805958546965	193.791046789017
2.788539	3.305588	5.785952	8.442028
13.422086	10.367237	28.126701	29.367947
33.1820076971736	32.351191	62.6818140794078	66.251144
27.218437	23.118423	54.551197	39.464043
279.163452	331.167114	73.730255	71.879486
105.194574354334	105.970693912869	104.486701931189	109.045338064343
93.892105	152.655243	146.009766	178.018875
28.585234	24.351093	10.171159	8.312748
20.963459	15.713366	44.899799	44.693226
1	1	1	1
14.655454	13.589339	10.735374	9.658222
1	1.171154	1	1
207.271103	299.562653	842.909058	1194.755615
13.018298	22.113737	2.612663	2.199356
4.133845	2.783186	10.763857	13.350584
46.807137	45.618084	68.785225	66.833153
1	1	1.27309	1
30.1437431400651	16.2744025841477	19.5281513648208	18.0952991530945
131.447632	120.808548	29.870985	33.539368
17.080667	13.375894	4.341728	3.293506
9.292369	12.346654	23.372082	20.845116
59.406841	63.325531	56.989773	55.930252
86.26638	80.610214	97.625015	105.133583
42.314274	42.847378	23.786287	19.114565
64.445808	81.211067	38.743225	43.761127
54.288696	56.09164	49.474575	64.932381
4.246343	2.967113	1	1.959113
26.959681	21.742353	18.487938	17.676279
24.2120351795775	28.5166129443662	17.1909936260563	67.1205008838028
1	1	1	1
1	1	1	1
24.549728	33.125469	8.68488	17.805435
1	1	1	1
63.8361617199074	57.1774972993827	83.4917498873457	98.8772568302469
169.593872	115.352081	83.923943	88.251617
11.469147	7.268305	5.368954	7.747605
7.319352	6.346966	12.308515	14.212093
9.82284	10.804651	26.684349	25.623281
45.731895	42.617554	2.85939	2.59323
60.176922	51.043343	140.143478	156.075821
1.37909	1.644813	1	1
760.328125	823.950562	172.44101	147.883408
32.134636	27.879082	33.125248	39.102737
5.305023	4.023404	2.507729	2.363713
56.7015892101695	74.6776750474576	27.0243692305085	31.6651011661017
2159.796387	3538.540527	39.40028	44.847996
6.18336224645583	6.11627089422028	32.0277477862595	17.7810820392585
46.086773	51.270641	40.687248	44.313698
10.279737	9.735308	7.202428	7.478766
5.27652144773907	4.2513993573017	47.9653624010378	43.9766118191253
1	1	14.284708	12.40172
9.60264	8.045292	37.867542	23.325476
52.4563743120205	60.7278787817562	1277.81597671526	1278.21130399915
639.391174	511.783905	2191.01416	2114.883789
1	1	1	1
62.686604	56.732491	30.217024	31.540388
74.42942	56.920315	544.90918	350.309387
118.384240722008	82.1616748833977	102.692885069498	110.467910753668
64.156036	51.987915	110.125122	100.398743
118.494953217367	119.53051222361	48.5358213189557	47.0224254046538
61.988686	46.110771	66.738998	63.6469
10.9990720486381	7.70554841634241	8.16516689688716	9.26098482198443
2.560691	2.364682	1.541361	3.061406
1	1	6.9298	4.527076
9.549011	7.87181	4.038767	5.034174
7.041597	7.583026	78.872131	84.435112
72.037758	59.080753	46.750298	48.431473
8648.802734	9681.979492	3512.531738	4418.835449
1	1	1	1
1.8979954333838	1.92311669757759	8.89582693035579	8.3753692354277
13.672997	8.681799	4.254072	4.959219
24.193373	20.353416	43.131424	40.381729
26.5931	23.860533	16.872146	19.040192
8.526773	6.593105	11.69454	11.143862
1	1	1	1
21.841984	20.222319	11.612105	14.120065
1341.682007	947.280396	1235.753296	981.702332
6.902109	10.168478	2.870824	2.779695
30.6015008768546	23.8775672321958	38.8621655675074	36.9667490467359
