transcript_id,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
AT2G08655.1,1,4,2,0,1,2,2,4,1,4,0,2
AT4G04480.1,2,3,2,0,2,2,2,0,0,4,4,0
AT3G05385.1,4,2,0,0,0,0,0,3,4,3,0,0
AT1G03340.1,112,184,60,136,115,74,120,116,103,156,213,163
AT1G04440.1,2313,2716,2921,2701,1256,2533,2653,2337,1846,3239,3737,2998
AT5G13090.1,1473,1848,1961,1687,2160,1614,1712,1638,1187,1944,2539,1774
AT2G30190.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G31390.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04487.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G10680.1,125,115,139,68,59,142,162,129,96,117,84,99
AT3G03915.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G20900.1,0,0,0,2,0,0,2,2,0,0,2,0
AT1G31380.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G50020.3,1072,1185,1388,978,801,889,1247,1231,918,1127,1159,1232
AT3G11500.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52780.1,1248,1456,1618,1234,2685,1248,1208,1212,928,1328,1803,1331
AT2G27700.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G11500.2,1085,1149,1225,943,532,908,1125,1022,754,1041,1200,1014
AT5G24630.11,4,6,0,0,0,0,0,0,0,0,0,14
AT1G05170.2,1619,1633,1938,1842,1653,1728,1286,1496,1060,1539,1651,1706
AT1G05170.1,22,195,6,83,58,112,250,8,99,74,578,24
AT5G24630.12,5,6,0,0,0,0,0,0,0,0,0,13
AT4G17098.2,0,1,0,0,0,0,3,1,0,0,15,3
AT4G17098.3,36,60,86,94,45,83,42,34,72,71,36,58
AT3G60730.1,9,25,0,10,7,22,9,11,0,7,16,17
AT1G67750.1,2469,2739,2462,2286,2108,2365,2323,2000,1845,2268,2629,2499
AT2G02370.3,18,14,16,28,13,28,34,52,33,28,16,50
AT2G02370.2,0,0,0,0,0,0,0,0,0,0,0,0
AT2G02370.1,168,268,292,316,221,303,255,275,225,364,515,498
AT4G25440.1,206,325,208,304,121,212,197,224,140,310,452,271
AT4G25440.2,164,269,250,182,334,220,238,177,136,249,237,233
AT4G25440.3,29,0,17,19,6,20,0,51,80,21,13,171
AT1G56000.2,4,12,10,4,2,3,3,14,4,4,8,12
AT1G56000.1,1081,1050,1187,1013,684,1216,1195,1002,939,1316,1571,1237
AT3G07920.1,3,0,0,0,0,0,0,0,3,0,0,0
AT3G59940.1,7696,9947,10578,11105,16785,9983,7450,9667,7783,11779,18163,13150
AT5G61412.1,20,13,49,7,4,16,33,51,10,9,10,14
AT3G51470.1,201,177,215,166,136,131,111,162,112,236,238,197
AT3G51470.2,74,115,95,69,156,44,87,98,68,61,130,66
AT3G54130.1,331,384,594,375,286,414,414,335,279,417,507,467
AT4G12840.2,129,85,95,83,116,76,111,117,93,11,135,0
AT4G12840.3,2,4,11,72,0,10,4,3,0,3,20,20
AT4G12840.1,105,115,100,0,36,91,41,28,44,169,71,146
AT2G05075.1,63,94,87,79,67,86,100,79,63,93,155,211
AT1G07873.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G50740.5,1141,232,638,251,359,465,689,381,328,739,441,534
AT2G26190.1,2762,2828,2573,3476,3399,4116,2769,3479,2507,6138,6802,6432
AT2G26190.3,216,127,53,302,125,159,133,41,81,164,338,97
AT2G26190.2,243,196,198,186,192,209,174,296,165,164,389,233
AT1G75800.1,1274,1326,1564,1650,1140,1775,1530,1419,1153,1888,2241,1848
AT3G14510.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G18980.1,0,4,4,0,0,6,0,0,4,3,0,0
AT4G14230.1,520,485,568,438,364,327,345,445,397,505,595,550
AT3G26115.1,57,43,70,59,108,80,87,167,94,86,244,53
AT1G16530.1,8,56,71,11,14,19,25,67,22,21,39,50
AT3G26115.2,74,89,70,71,0,114,121,76,39,108,0,147
AT3G26115.5,16,0,50,38,35,0,3,0,0,2,0,0
AT3G26115.4,30,59,23,4,80,28,48,1,6,39,19,6
AT2G18050.1,65,39,51,60,49,138,65,32,37,118,130,79
AT2G09135.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G18050.2,0,0,0,0,0,0,0,0,0,0,0,0
AT5G09995.2,324,372,311,274,116,326,182,249,149,257,298,245
AT1G75730.2,0,197,131,0,118,103,43,121,0,42,19,0
AT1G75730.1,545,402,470,375,177,394,457,417,359,529,543,495
AT3G48210.1,319,271,276,237,196,279,396,300,235,187,234,298
AT2G19893.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G51330.1,0,0,0,0,0,0,0,0,0,3,0,0
AT1G05257.1,2,1,1,0,1,1,1,1,1,0,1,1
AT3G08947.1,635,550,647,404,261,471,578,567,466,485,522,519
AT3G08947.2,9,77,27,36,15,65,33,40,31,45,109,33
AT3G07365.1,0,0,2,0,9,0,0,3,2,0,0,0
AT5G59000.1,238,305,402,313,353,229,273,276,176,266,484,368
AT3G13610.1,7,12,64,0,0,0,15,49,21,5,0,27
AT4G36808.1,5769,5577,3608,4694,0,5482,5441,3109,2835,4650,6665,5551
AT5G49460.2,119,339,50,132,89,472,112,85,142,150,240,46
AT4G18180.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G54450.1,200,232,283,205,66,204,175,201,113,187,222,226
AT2G35840.3,202,464,1061,602,376,957,613,804,399,633,510,73
AT2G35840.2,2285,1939,2180,97,570,409,79,154,409,330,1151,2420
AT2G35840.1,1863,1959,2367,2868,3040,735,3089,1050,1484,3011,4869,2990
AT2G35840.4,2172,2728,2336,3364,2073,5029,2936,3814,2727,3028,3088,2389
AT5G53742.1,1,1,4,0,1,0,1,8,0,0,3,2
AT3G25170.3,0,0,0,0,0,0,0,0,0,0,0,0
AT3G25170.2,0,0,0,0,0,0,0,0,0,0,0,0
AT1G12620.1,302,304,376,230,239,203,304,313,175,292,333,324
AT1G47695.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G18120.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G10110.4,7,10,7,4,5,4,10,11,4,6,3,6
AT3G10110.1,224,313,261,177,308,162,196,237,183,201,407,376
AT3G10110.3,7,10,6,2,0,6,8,5,4,0,5,5
AT3G10110.2,0,11,0,22,11,0,38,11,9,12,16,0
AT2G22860.1,20,15,62,26,0,16,64,46,28,79,53,40
AT2G09075.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G18815.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G27850.2,968,2066,1019,5752,4134,584,770,4633,456,865,854,1052
AT2G27700.2,0,0,0,0,0,0,0,0,0,0,0,0
AT3G47630.3,33,16,85,5,222,15,11,224,29,48,47,123
AT2G07748.1,0,0,0,1,0,1,0,0,1,1,1,0
AT3G63500.1,39,28,124,33,40,47,44,42,20,59,67,98
AT5G04420.2,17,1,38,53,94,38,24,148,14,177,124,27
AT5G04420.3,491,209,642,1098,358,664,926,188,631,214,1350,1231
AT5G04420.1,741,1137,836,357,411,596,587,1181,521,1098,339,491
AT4G11402.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G63500.2,2520,3491,2748,3357,3571,3110,3240,3210,2742,4541,5780,4684
AT5G28690.2,0,0,0,0,0,0,0,0,0,0,0,0
AT3G63500.3,890,300,1520,735,757,656,364,605,238,495,778,1170
AT5G28690.1,0,0,0,0,0,0,6,0,0,0,0,0
AT1G19310.1,96,102,102,143,93,134,90,112,83,213,330,294
AT5G46025.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G25585.3,0,0,0,0,0,0,0,0,0,0,0,0
AT4G13030.2,2,0,11,0,153,34,4,6,2,0,35,16
AT4G13030.3,39,0,0,8,0,11,131,0,75,99,71,16
AT3G48205.1,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37160.1,0,0,0,0,0,0,0,0,4,0,8,0
AT4G37160.2,0,0,0,0,0,0,0,0,0,0,0,0
AT3G48205.2,0,0,0,0,0,0,0,0,0,0,0,0
AT5G35913.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G56890.1,0,0,42,54,38,49,55,82,0,48,0,33
AT1G61475.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08955.1,3,0,0,0,3,0,7,3,0,0,0,0
AT2G07840.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G46240.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G59550.1,395,413,319,240,125,213,273,298,206,266,267,247
AT2G24470.1,0,0,0,0,0,0,0,0,0,0,0,0
AT4G32105.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G07385.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G48200.1,9506,10324,11489,9607,4313,10258,10519,9390,7629,10239,11762,10172
AT2G19820.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G11260.1,3942,4242,4344,3998,3641,4670,4085,4541,4155,9646,9124,9593
AT1G31150.2,24,67,43,0,126,0,0,6,111,89,133,0
AT4G12030.5,0,0,0,0,0,0,0,0,0,0,0,0
AT1G31150.1,605,585,622,497,367,578,612,590,336,486,469,640
AT3G09440.4,2240,3004,1120,4503,1767,2721,1554,2464,1800,342,1042,620
AT3G09440.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09440.3,38925,44541,51136,33178,22450,35894,36831,31411,22882,31778,37365,31535
AT3G09440.2,0,0,0,9,0,0,0,0,15,12,9,10
AT2G34300.3,3,17,5,22,0,8,2,175,4,18,18,10
AT2G34300.2,54,71,40,16,0,0,13,25,0,0,0,6
AT2G34300.1,1490,1530,1865,1649,1816,1330,1479,1204,1084,1492,2031,1556
AT5G16680.2,172,161,167,85,27,186,117,167,36,212,201,238
AT4G31110.2,0,0,0,0,0,0,0,0,0,0,0,0
AT4G24900.1,185,287,229,185,60,207,355,262,222,213,273,314
AT1G48650.1,8616,10050,10469,8166,6455,8256,9396,8311,6176,8626,10232,9713
AT1G48650.2,0,0,0,0,0,0,0,0,0,0,0,0
AT5G36710.1,269,147,90,57,153,85,103,204,77,137,160,162
AT2G09300.1,0,0,0,6,0,7,9,0,0,0,0,3
AT4G27880.1,711,808,850,709,477,725,779,687,516,887,987,1012
AT1G55790.1,0,4,0,0,0,0,0,0,0,0,0,0
AT2G18960.1,40779,46592,51999,38763,35897,40031,40821,39360,31341,43683,55479,49174
AT5G19900.5,240,76,13,0,0,0,62,66,0,34,349,11
AT2G18960.3,377,1121,292,366,1110,638,806,189,252,337,571,1208
AT2G18960.2,134,103,79,907,1614,295,169,125,439,233,478,323
AT4G00250.1,12,20,15,14,23,4,15,4,5,16,11,25
AT2G39280.2,316,60,242,271,63,93,191,302,137,190,328,357
AT1G47240.1,816,835,963,867,435,936,845,902,522,752,1069,759
AT3G13690.3,883,1266,1210,923,1081,1321,685,680,835,334,870,944
AT2G36060.1,818,848,942,1268,555,1276,828,1052,1004,1095,1497,835
AT2G36060.2,1355,1302,1363,763,469,683,1501,891,651,1100,1369,1538
AT2G36060.3,41,116,78,83,35,54,69,11,2,69,55,135
AT3G05685.2,33,18,3,3,8,10,17,0,24,30,17,85
AT3G05685.3,54,68,100,93,50,92,83,94,29,104,84,67
AT3G05685.1,6,0,12,3,0,0,0,0,0,0,0,0
AT1G26255.1,3,0,0,0,0,0,0,0,0,0,0,0
AT1G26255.2,0,0,0,0,0,0,9,0,0,0,0,0
AT1G26255.3,0,15,0,0,0,0,0,0,0,1,0,0
AT1G26255.4,1,0,0,0,0,0,5,0,0,1,0,4
AT1G26255.5,0,2,0,0,0,0,0,0,0,4,0,0
AT1G04610.1,20,19,23,43,22,17,7,24,20,12,14,8
AT3G24530.1,1232,1667,1664,1384,930,1401,1323,1250,1140,1134,1674,1347
AT3G24530.2,45,26,67,198,135,121,31,8,9,218,179,457
AT3G24530.3,90,7,118,0,131,32,42,33,0,372,58,54
AT1G47250.1,458,451,659,395,301,443,605,460,365,459,563,498
AT1G44895.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G62620.2,19,36,17,21,14,11,14,25,40,55,10,71
AT3G62620.3,0,0,0,0,0,0,0,0,0,0,0,0
AT4G09030.1,931,598,765,317,56,646,767,689,477,482,326,337
AT3G62620.1,203,236,323,168,201,259,198,226,109,302,323,220
