Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	PubMed	Gene Ontology	Pathway
253502_at	CYP82C4	member of CYP82C	4	15451988	AT4G31940	15539473, 16615871, 16998091, 18291319, 18613973, 18772308, 21315474	GO:0004497: monooxygenase activity, GO:0005506: iron ion binding, GO:0009055: electron carrier activity, GO:0009507: chloroplast, GO:0010043: response to zinc ion, GO:0016705: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, GO:0019825: oxygen binding, GO:0020037: heme binding, GO:0055114: oxidation-reduction process, GO:0071281: cellular response to iron ion	00903: Limonene and pinene degradation, 00945: Stilbenoid, diarylheptanoid and gingerol biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
254550_at	ATIRT1, IRT1	Fe(II) transport protein (IRT1), Fe(II) transport protein (IRT1)	4, 4	10707426, 10707446	AT4G19690	10938797, 10769179, 10394943, 9784581, 9501139, 8643627, 11035780, 11696349, 11389759, 11352462, 11500563, 12084831, 12084823, 12096107, 12207649, 12374293, 12787249, 16362328, 17000865, 17029360, 17085755, 17337631, 17427814, 17404382, 18305211, 18397377, 18772308, 19168643, 19154225, 19121106, 19188276, 19252923, 19348669, 19448037, 18268542, 18640604, 19017117, 19549134, 20055961, 20627899, 21219335, 21325567, 21426424, 21628566, 21742768, 21334215, 22234997, 22374397, 22476458, 22639604, 22626733, 22995285, 22984573, 22983953, 23021314, 23144187, 23250624, 23225856	GO:0000041: transition metal ion transport, GO:0005381: iron ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005384: manganese ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005802: trans-Golgi network, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006826: iron ion transport, GO:0006826: iron ion transport, GO:0006828: manganese ion transport, GO:0006829: zinc II ion transport, GO:0006833: water transport, GO:0006879: cellular iron ion homeostasis, GO:0006972: hyperosmotic response, GO:0009617: response to bacterium, GO:0009733: response to auxin, GO:0009735: response to cytokinin, GO:0009736: cytokinin-activated signaling pathway, GO:0009737: response to abscisic acid, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015086: cadmium ion transmembrane transporter activity, GO:0015088: copper uptake transmembrane transporter activity, GO:0015675: nickel cation transport, GO:0015691: cadmium ion transport, GO:0015706: nitrate transport, GO:0016020: membrane, GO:0016021: integral component of membrane, GO:0030001: metal ion transport, GO:0030001: metal ion transport, GO:0046873: metal ion transmembrane transporter activity, GO:0048527: lateral root development, GO:0048589: developmental growth, GO:0048765: root hair cell differentiation, GO:0055085: transmembrane transport, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071577: zinc II ion transmembrane transport, GO:0071732: cellular response to nitric oxide	
257135_at			3	4104576	AT3G12900	15489280, 15539473, 16998091, 17028341, 17028338, 18772308, 20627899	GO:0005737: cytoplasm, GO:0016491: oxidoreductase activity, GO:0016706: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors, GO:0016706: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors, GO:0055114: oxidation-reduction process, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
255524_at	AtPME41, ATPMEPCRB, PME41		4, 4, 4	1032413	AT4G02330	9767082, 11351099, 12169696, 12481097, 12007405, 14508004, 14576160, 15047898, 15235117, 15308753, 15720654, 15539473, 15837708, 14742872, 16214899, 16299171, 16299169, 16553894, 16517761, 16622707, 16766693, 16766691, 16920880, 17059410, 18192438, 18805951, 21819976	GO:0004857: enzyme inhibitor activity, GO:0005576: extracellular region, GO:0005618: cell wall, GO:0009409: response to cold, GO:0009741: response to brassinosteroid, GO:0015824: proline transport, GO:0030599: pectinesterase activity, GO:0030599: pectinesterase activity, GO:0030599: pectinesterase activity, GO:0042545: cell wall modification	
245692_at	BHLH101		5	-1138559	AT5G04150	11118137, 12679534, 12897250, 14600211, 17260143, 17516080, 20978802, 21873619, 22984573, 22983953	GO:0003677: DNA binding, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0010106: cellular response to iron ion starvation, GO:0055072: iron ion homeostasis	
249535_at		Encodes a putative amino acid transporter.	5	15543481	AT5G38820	12586873, 15489280, 15539473, 17028338, 18775970, 20627899	GO:0005275: amine transmembrane transporter activity, GO:0006865: amino acid transport, GO:0015171: amino acid transmembrane transporter activity, GO:0016020: membrane, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
262373_at			1	-27497186	AT1G73120	14576160, 15086809, 15082927, 15539473, 16648215, 16998091, 18614705, 18702669	GO:0003674: molecular_function, GO:0006979: response to oxidative stress, GO:0046685: response to arsenic-containing substance	
251677_at	BHLH039, bHLH39, ORG3	Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein.	3, 3, 3	-21086546	AT3G56980	11118137, 12679534, 12897250, 12887587, 14600211, 15086800, 15082927, 15078338, 15923329, 16284313, 17260143, 17233795, 17217462, 17411438, 17516080, 18783601, 18268542, 21873619, 22984573, 22983953, 23250624	GO:0003677: DNA binding, GO:0003677: DNA binding, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0010106: cellular response to iron ion starvation, GO:0055072: iron ion homeostasis	
250983_at	GSTL1	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.	5	630876, 630876	AT5G02780	12077129, 15489280, 15539473, 17061125, 17031546, 18053238, 18775970, 20841361	GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0010731: protein glutathionylation	
261684_at			1	17385717	AT1G47400	15086809, 15546358, 15755812, 16291648, 16330523, 17061125, 20978802	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
